category,name,type
Guns,NR-23,Autocannon
Guns,NR-30,Autocannon
Guns,Oerlikon KCA,Revolver cannon
Guns,ShKAS,Machine gun
Air-to-Surface,9A4172 Vikhr,Laser
Air-to-Surface,AGM-122 Sidearm,Anti-Radiation
Air-to-Surface,AGM-65A,TV guided
Air-to-Surface,AGM-65B,TV guided
Air-to-Surface,AGM-65D,Infrared
Air-to-Surface,AGM-65E,Laser
Air-to-Surface,AGM-65F,Infrared
Air-to-Surface,AGM-154A,GPS
Air-to-Surface,AGM-154C,GPS
Air-to-Surface,AGM-65G,Infrared
Air-to-Surface,AGM-65H,TV guided
Air-to-Surface,AGM-65K,TV guided
Air-to-Surface,AGM-88C,Anti-Radiation
Air-to-Surface,BK90 mix,Active Radar
Air-to-Surface,BK90 MJ1,Active Radar
Air-to-Surface,BK90 MJ2,Active Radar
Air-to-Surface,CATM-65K,Training
Air-to-Surface,HOT3,Wire guided
Air-to-Surface,HVAR,Unguided
Air-to-Surface,Kh-25 ML,Laser
Air-to-Surface,Kh-25 MPU,Anti-Radiation
Air-to-Surface,Kh-29 L,Laser
Air-to-Surface,Kh-29 T,TV guided
Air-to-Surface,Kh-58 U,Anti-Radiation
Air-to-Surface,Kh-66 Grom,Radar Beam Riding
Air-to-Surface,M-151,Unguided
Air-to-Surface,M-156,Unguided
Air-to-Surface,M-257,Unguided
Air-to-Surface,M-258,Unguided
Air-to-Surface,M-274,Training
Air-to-Surface,M70B AP,Unguided
Air-to-Surface,M70B HE,Unguided
Air-to-Surface,Matra 155,Unguided
Air-to-Surface,MK-1,Training
Air-to-Surface,MK-151,Unguided
Air-to-Surface,MK-156,Unguided
Air-to-Surface,MK-5,Unguided
Air-to-Surface,MK-61,Training
Air-to-Surface,MK-71 Zuni,Unguided
Air-to-Surface,Zuni-127,Unguided
Air-to-Surface,LD-10,Anti-Radiation
Air-to-Surface,HYDRA-70 M151,Unguided
Air-to-Surface,Rb 04E,Active Radar
Air-to-Surface,Rb 05A,Semi-Active Radar
Air-to-Surface,Rb 15F,Active Radar
Air-to-Surface,RS-82,Unguided
Air-to-Surface,S-13 OF,Unguided
Air-to-Surface,S-24 A,Unguided
Air-to-Surface,S-24 B,Unguided
Air-to-Surface,S-25 L,Laser
Air-to-Surface,S-25 OFM,Unguided
Air-to-Surface,S-5 KO,Unguided
Air-to-Surface,S-5KO,Unguided
Air-to-Surface,S-5 M,Unguided
Air-to-Surface,S-8 KOM,Unguided
Air-to-Surface,S-8 OFP2,Unguided
Air-to-Surface,S-8OFP2,Unguided
Air-to-Surface,S-8 OM,Unguided
Air-to-Surface,S-8 TsM,Unguided
Air-to-Surface,Sea Eagle,Active Radar
Air-to-Surface,SNEB 68 EAP,Unguided
Air-to-Surface,TGM-65D,Training
Air-to-Surface,TGM-65G,Training
Air-to-Surface,TGM-65H,Training
Air-to-Surface,WTU1B,Training
Bomb,AN-M64,Unguided
Bomb,BDU-33,Training
Bomb,BDU-50HD,Training
Bomb,BDU-50LD,Training
Bomb,BDU-50LGB,Training
Bomb,BDU-56,Training
Bomb,BetAB-500,Unguided
Bomb,BetAB-500ShP,Unguided
Bomb,BIN-200,Unguided
Bomb,BL755,Unguided
Bomb,BLG-66,Unguided
Bomb,BLU-110,Unguided
Bomb,BLU-111,Unguided
Bomb,BLU-117,Unguided
Bomb,BR-250,Unguided
Bomb,BR-500,Unguided
Bomb,CBU-100,Unguided
Bomb,CBU-103,GPS
Bomb,CBU-105,GPS
Bomb,CBU-52B,Unguided
Bomb,CBU-87,Unguided
Bomb,CBU-97,Unguided
Bomb,CBU-99,Unguided
Bomb,FAB-100,Unguided
Bomb,FAB-100M,Unguided
Bomb,FAB-250,Unguided
Bomb,FAB-250 M54 TU,Unguided
Bomb,FAB-250 M62,Unguided
Bomb,FAB-50,Unguided
Bomb,FAB-500,Unguided
Bomb,FAB-500 M62,Unguided
Bomb,GB-GP-250LBS-MK4,Unguided
Bomb,GB-GP-500LBS-MK4,Unguided
Bomb,GB-6-SFW,GPS
Bomb,GBU-10,Laser
Bomb,GBU-12,Laser
Bomb,GBU-16,Laser
Bomb,GBU-24,Laser
Bomb,GBU-31,GPS
Bomb,GBU-32,GPS
Bomb,GBU-38,GPS
Bomb,KMGU-2 AO-2.5RT,Unguided
Bomb,KMGU-2 PTAB-2.5KO,Unguided
Bomb,LUU-2,Unguided
Bomb,Lysbomb,Unguided
Bomb,M/71,Unguided
Bomb,M/71 Chute,Unguided
Bomb,M117,Unguided
Bomb,Mk 20 Rockeye,Unguided
Bomb,Mk 81,Unguided
Bomb,Mk 82,Unguided
Bomb,Mk 82 AIR,Unguided
Bomb,Mk 82 Snake Eye,Unguided
Bomb,Mk 82Y,Unguided
Bomb,Mk 83,Unguided
Bomb,Mk 84,Unguided
Bomb,OFAB-100 Jupiter,Unguided
Bomb,P-50T,Unguided
Bomb,RBK-250 PTAB-2.5M,Unguided
Bomb,RBK-250-275 AO-1SCh,Unguided
Bomb,RBK-500-255 PTAB-10-5,Unguided
Bomb,RBK-500 PTAB-1M,Unguided
Bomb,RBK-500U OAB-2.5RT,Unguided
Bomb,RN-24,Unguided
Bomb,RN-28,Unguided
Bomb,SAB-100,Unguided
Bomb,SC 1000,Unguided
Bomb,SC 250,Unguided
Bomb,SC 50,Unguided
Bomb,SC 500,Unguided
